"Channel ID","Channel Label","Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Spike Count","Spike Rate [Hz]","Burst Count","Mean Burst Duration [µs]","Mean Burst Spike Count","Mean Burst Spike Rate [Hz]","Percentage Spikes in Burst","Mean Interburst Interval [µs]","Active Channel","Network Burst Count","Mean Network Burst Duration [µs]","Mean Network Burst Spike Count","Mean Network Burst Spike Rate [Hz]","Percentage Spikes in Network Burst","Mean Network Interburst Interval [µs]"
"168","32","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",6504,21.68,178,273079.213,34.27,123.835,93.788,1418812.147,False,158,496354.114,823.082,137.754,97.57,1410097.134
"171","42","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",125,2.083,4,139025,27.5,191.109,88,13307441.667,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"171","42","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",697,2.323,23,142439.13,26.478,180.076,87.374,13003614.773,False,23,998219.565,1334.478,111.874,91.335,12136647.727
"171","42","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",2563,8.543,170,96989.118,10.124,96.408,67.148,1674506.213,False,158,496354.114,823.082,137.754,97.57,1410097.134
"177","13","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",723,12.05,5,699790,134.6,173.944,93.084,10708664.286,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"177","13","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4092,13.64,30,724130,129.767,157.931,95.137,10075012.264,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"177","13","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",15465,51.55,160,459121.563,95.225,204.306,98.519,1423414.78,False,158,496354.114,823.082,137.754,97.57,1410097.134
"174","23","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",340,5.667,5,393430,58,134.043,85.294,9663825,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"174","23","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",1969,6.563,33,365707.576,52.848,139.16,88.573,9887867.857,False,23,998219.565,1334.478,111.874,91.335,12136647.727
"174","23","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",9415,31.383,161,362633.851,55.528,149.503,94.955,1508839.063,False,158,496354.114,823.082,137.754,97.57,1410097.134
"173","33","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",366,6.1,4,511912.5,83,160.439,90.71,12920416.667,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"173","33","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2087,6.957,27,435029.63,70.593,154.853,91.327,10891114.706,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"173","33","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10758,35.86,158,387390.823,66.57,168.944,97.769,1519602.229,False,158,496354.114,823.082,137.754,97.57,1410097.134
"170","43","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",386,6.433,4,542637.5,80.25,147.285,83.161,11039114.286,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"170","43","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2117,7.057,32,398496.875,56.344,132.548,85.168,10424340.566,False,23,998219.565,1334.478,111.874,91.335,12136647.727
"170","43","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",9661,32.203,166,358364.458,52.861,145.52,90.829,1456028.485,False,158,496354.114,823.082,137.754,97.57,1410097.134
"175","24","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",569,9.483,5,657910,100.6,134.912,88.401,9468762.5,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"175","24","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3229,10.763,33,552745.455,85.212,132.357,87.086,9675091.964,False,23,998219.565,1334.478,111.874,91.335,12136647.727
"175","24","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",11852,39.507,161,416108.075,70.658,165.371,95.984,1454790.313,False,158,496354.114,823.082,137.754,97.57,1410097.134
"172","34","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",736,12.267,4,919525,167.5,181.977,91.033,12461583.333,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"172","34","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4190,13.967,27,782201.852,140.222,164.5,90.358,11151245.833,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"172","34","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13779,45.93,161,460866.149,82.155,174.581,95.994,1409814.063,False,158,496354.114,823.082,137.754,97.57,1410097.134
"154","21","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",839,13.983,9,508333.333,84.556,158.231,90.703,6875350,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"154","21","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3183,10.61,38,511392.105,78.579,138.486,93.811,8298752.273,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"154","21","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10117,33.723,118,463890.678,82.712,177.093,96.471,2094771.368,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"145","31","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",918,15.3,10,516950,82.9,143.262,90.305,6048105.882,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"145","31","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3442,11.473,39,479456.41,79.128,148.411,89.657,7861815.714,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"145","31","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",12629,42.097,119,457576.471,103.983,224.063,97.981,2079200.424,True,118,541645.763,1028.678,158.23,98.246,2017248.291
"152","12","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",1218,20.3,8,804200,145.5,179.811,95.567,7207214.286,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"152","12","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4606,15.353,33,739060.606,132.758,170.482,95.115,8691278.226,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"152","12","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",14126,47.087,118,519130.932,117.025,223.709,97.756,2039561.538,True,118,541645.763,1028.678,158.23,98.246,2017248.291
"155","22","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",727,12.117,13,308696.154,49.692,144,88.858,5524734.211,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"155","22","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2685,8.95,38,415288.158,63.105,137.865,89.311,7720068.056,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"155","22","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10632,35.44,119,476739.496,86.563,179.279,96.887,2060211.017,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"144","32","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",1159,19.317,10,608235,109,161.479,94.047,6334787.5,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"144","32","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4409,14.697,38,615602.632,107.184,158.685,92.379,8195233.333,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"144","32","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",14170,47.233,118,512923.729,116.847,225.873,97.304,2045983.761,True,118,541645.763,1028.678,158.23,98.246,2017248.291
"147","42","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",909,15.15,10,529595,85.8,145.616,94.389,6426993.75,False,8,835187.5,1199.875,119.822,96.269,7192178.571
"147","42","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3379,11.263,39,522733.333,81.282,138.651,93.815,7793191.429,False,30,849733.333,1190.6,117.135,95.88,9272060.345
"147","42","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10223,34.077,119,447032.773,82.622,182.017,96.175,2089830.932,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"153","13","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",861,14.35,12,419033.333,63,125.581,87.805,5666677.778,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"153","13","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3200,10.667,43,470337.209,66.744,123.4,89.688,7640874.648,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"153","13","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10476,34.92,118,446882.627,86.729,192.135,97.69,2112317.521,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"150","23","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",582,9.7,8,443356.25,64.5,144.783,88.66,7524935.714,False,8,835187.5,1199.875,119.822,96.269,7192178.571
"150","23","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2125,7.083,41,342830.488,46.878,124.576,90.447,7574908.784,False,30,849733.333,1190.6,117.135,95.88,9272060.345
"150","23","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",7074,23.58,127,367309.843,53.685,141.892,96.381,2008755.159,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"149","33","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",739,12.317,9,469005.556,73.889,158.045,89.986,6958973.333,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"149","33","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2724,9.08,38,444256.579,66.316,135.315,92.511,8029305.797,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"149","33","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10370,34.567,118,453855.508,85.576,186.44,97.377,2104600,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"146","43","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",798,13.3,9,546033.333,84.111,145.414,94.862,6488646.875,False,8,835187.5,1199.875,119.822,96.269,7192178.571
"146","43","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2907,9.69,36,480300,74.917,146.23,92.776,8385196.97,False,30,849733.333,1190.6,117.135,95.88,9272060.345
"146","43","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",9637,32.123,118,436433.898,79.898,181.034,97.831,2121909.402,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"151","24","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",999,16.65,11,528095.455,87,143.078,95.796,5091002.5,True,8,835187.5,1199.875,119.822,96.269,7192178.571
"151","24","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3719,12.397,36,597090.278,98.556,152.642,95.402,8384456.154,True,30,849733.333,1190.6,117.135,95.88,9272060.345
"151","24","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",11298,37.66,118,469093.22,93.449,197.18,97.601,2089963.675,True,118,541645.763,1028.678,158.23,98.246,2017248.291
"148","34","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",222,3.7,8,136775,24.25,171.348,87.387,7886378.571,False,8,835187.5,1199.875,119.822,96.269,7192178.571
"148","34","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",874,2.913,30,138326.667,26.1,184.058,89.588,9988398.276,False,30,849733.333,1190.6,117.135,95.88,9272060.345
"148","34","17","C6","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",2799,9.33,154,136666.883,14.214,100.414,78.207,1820805.556,False,118,541645.763,1028.678,158.23,98.246,2017248.291
"77","21","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","0","Control",301,5.017,7,229050,38.429,155.2,89.369,8671250,False,4,970400,1704.5,146.622,90.581,12404833.333
"77","21","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Drug 2",1860,6.2,35,290410,46.714,148.876,87.903,8852529.839,False,24,960225,1681.542,146.166,91.355,11362217.391
"77","21","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Convulsant",8969,29.897,121,460837.603,72,153.891,97.135,2035252.083,False,121,651423.554,1265.512,161.879,98.584,1843143.333
"78","31","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","0","Control",496,8.267,4,718962.5,112.5,156.287,90.726,12603900,False,4,970400,1704.5,146.622,90.581,12404833.333
"78","31","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Drug 2",2911,9.703,33,510987.879,80.455,142.808,91.206,9201338.793,False,24,960225,1681.542,146.166,91.355,11362217.391
"78","31","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Convulsant",11164,37.213,125,505452.4,86.136,165.102,96.444,1909805.242,False,121,651423.554,1265.512,161.879,98.584,1843143.333
"75","12","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","0","Control",686,11.433,5,626030,124,180.794,90.379,10729235.714,True,4,970400,1704.5,146.622,90.581,12404833.333
"75","12","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Drug 2",4030,13.433,25,778662,148.92,188.048,92.382,11253100,True,24,960225,1681.542,146.166,91.355,11362217.391
"75","12","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Convulsant",13346,44.487,131,547582.443,99.481,173.364,97.647,1755870.385,False,121,651423.554,1265.512,161.879,98.584,1843143.333
"76","22","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","0","Control",821,13.683,5,712920,156.4,195.477,95.25,10685950,True,4,970400,1704.5,146.622,90.581,12404833.333
"76","22","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Drug 2",4879,16.263,24,857462.5,189.625,220.456,93.277,11202671.277,True,24,960225,1681.542,146.166,91.355,11362217.391
"76","22","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Convulsant",17738,59.127,122,619994.262,141.5,225.505,97.322,1854204.959,True,121,651423.554,1265.512,161.879,98.584,1843143.333
"79","32","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","0","Control",256,4.267,5,293020,45.6,155.178,89.063,8723133.333,False,4,970400,1704.5,146.622,90.581,12404833.333
"79","32","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Drug 2",1626,5.42,41,226841.463,35.122,138.646,88.561,8092919.853,False,24,960225,1681.542,146.166,91.355,11362217.391
"79","32","3","A4","0.1% DMSO","","0.1__DMSO_3659_A17_Drug_2_190321","","Convulsant",6902,23.007,128,397273.828,51.766,126.165,96.001,1961662.598,False,121,651423.554,1265.512,161.879,98.584,1843143.333
